date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:00	17431/17431	---MCZ	200	added ('OK')	text/html	etag:W/%224417-MOAVOblgNYnSLwWmFQ/KdJQmqoU%22	https://www.layui.com/demo/table-element.html	E:/dev/layui/layui/www.layui.com/demo/table-element.html	(from https://www.layui.com/)
19:37:01	12493/12493	---MCZ	200	added ('OK')	text/html	etag:W/%2230cd-vV93BiKcfslgxUVkBo/p132bnq8%22	https://www.layui.com/demo/anim.html	E:/dev/layui/layui/www.layui.com/demo/anim.html	(from https://www.layui.com/)
19:37:01	11976/11976	---MCZ	200	added ('OK')	text/html	etag:W/%222ec8-daifpJR7S8zQhs9tnhbG1s/LPWI%22	https://www.layui.com/demo/auxiliar.html	E:/dev/layui/layui/www.layui.com/demo/auxiliar.html	(from https://www.layui.com/)
19:37:01	16044/16044	---MCZ	200	added ('OK')	text/html	etag:W/%223eac-q0CK6hMtVT07NZb9l960NPRrjJw%22	https://www.layui.com/demo/layer.html	E:/dev/layui/layui/www.layui.com/demo/layer.html	(from https://www.layui.com/)
19:37:01	27230/27230	---MCZ	200	added ('OK')	text/html	etag:W/%226a5e-nV5LIfR/bdwEUhrgURXSE+HE0U4%22	https://www.layui.com/demo/laydate.html	E:/dev/layui/layui/www.layui.com/demo/laydate.html	(from https://www.layui.com/)
19:37:02	14500/14500	---MCZ	200	added ('OK')	text/html	etag:W/%2238a4-S7r9DQI1vQEzYsViqyVbyN/ItGU%22	https://www.layui.com/demo/table.html	E:/dev/layui/layui/www.layui.com/demo/table.html	(from https://www.layui.com/)
19:37:02	15469/15469	---MCZ	200	added ('OK')	text/html	etag:W/%223c6d-Hh9bJQqnSJhrh5KrFgx4yVZpLiU%22	https://www.layui.com/demo/laypage.html	E:/dev/layui/layui/www.layui.com/demo/laypage.html	(from https://www.layui.com/)
19:37:02	20797/20797	---MCZ	200	added ('OK')	text/html	etag:W/%22513d-mP6vPeC4Oj11xw7G2pKRpVptJ9M%22	https://www.layui.com/demo/upload.html	E:/dev/layui/layui/www.layui.com/demo/upload.html	(from https://www.layui.com/)
19:37:03	15006/15006	---MCZ	200	added ('OK')	text/html	etag:W/%223a9e-kaIjnoQjRywAacIK+9yyRIzpLyE%22	https://www.layui.com/demo/transfer.html	E:/dev/layui/layui/www.layui.com/demo/transfer.html	(from https://www.layui.com/)
19:37:03	18977/18977	---MCZ	200	added ('OK')	text/html	etag:W/%224a21-f0uTWXQ0kTGeR7nonqWSZoN0YC8%22	https://www.layui.com/demo/tree.html	E:/dev/layui/layui/www.layui.com/demo/tree.html	(from https://www.layui.com/)
19:37:03	15064/15064	---MCZ	200	added ('OK')	text/html	etag:W/%223ad8-dbHZKZoIAOvJBHmS/t8hA1pXrG0%22	https://www.layui.com/demo/colorpicker.html	E:/dev/layui/layui/www.layui.com/demo/colorpicker.html	(from https://www.layui.com/)
19:37:03	15204/15204	---MCZ	200	added ('OK')	text/html	etag:W/%223b64-IZZ71UHc3yNf+P7+/pGkmCjbTxI%22	https://www.layui.com/demo/slider.html	E:/dev/layui/layui/www.layui.com/demo/slider.html	(from https://www.layui.com/)
19:37:04	13289/13289	---MCZ	200	added ('OK')	text/html	etag:W/%2233e9-wxrPJ205HBN46dcc1AP4d8K6gCs%22	https://www.layui.com/demo/rate.html	E:/dev/layui/layui/www.layui.com/demo/rate.html	(from https://www.layui.com/)
19:37:04	16689/16689	---MCZ	200	added ('OK')	text/html	etag:W/%224131-2wKWhB2i+i2dBhk+o74nNA1P+SU%22	https://www.layui.com/demo/carousel.html	E:/dev/layui/layui/www.layui.com/demo/carousel.html	(from https://www.layui.com/)
19:37:04	10572/10572	---MCZ	200	added ('OK')	text/html	etag:W/%22294c-6znbfurn7GxlcLSsArZ0BAcGyh4%22	https://www.layui.com/demo/laytpl.html	E:/dev/layui/layui/www.layui.com/demo/laytpl.html	(from https://www.layui.com/)
19:37:04	14553/14553	---MCZ	200	added ('OK')	text/html	etag:W/%2238d9-/BdZZq4zylUCS1jteVfzkyq+vzU%22	https://www.layui.com/demo/flow.html	E:/dev/layui/layui/www.layui.com/demo/flow.html	(from https://www.layui.com/)
19:37:05	14710/14710	---MCZ	200	added ('OK')	text/html	etag:W/%223976-1xfc/PTl8Z9aeAHiK8wOP2c5dOA%22	https://www.layui.com/demo/util.html	E:/dev/layui/layui/www.layui.com/demo/util.html	(from https://www.layui.com/)
19:37:05	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2011:37:06%20GMT	http://www.layui.com/layer/?alone	E:/dev/layui/layui/www.layui.com/layer/index.html	(from https://www.layui.com/alone.html)
19:37:05	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2011:37:06%20GMT	http://www.layui.com/laydate/?alone	E:/dev/layui/layui/www.layui.com/laydate/index.html	(from https://www.layui.com/alone.html)
19:37:05	12232/12232	---MCZ	200	added ('OK')	text/html	etag:W/%222fc8-UgoylH7abclWc3VmlNY6hnzgHL4%22	https://www.layui.com/demo/code.html	E:/dev/layui/layui/www.layui.com/demo/code.html	(from https://www.layui.com/)
19:37:06	14711/14711	---MCZ	200	added ('OK')	text/html	etag:W/%223977-0WSc9Pw4hbQeRMEwEUXQS3/JcRY%22	https://www.layui.com/demo/table/resetPage.html	E:/dev/layui/layui/www.layui.com/demo/table/resetPage.html	(from https://www.layui.com/)
19:37:06	15897/15897	---MCZ	200	added ('OK')	text/html	etag:W/%223e19-drPCKEPLIc1+JHgLcYEBhM9LfyI%22	https://www.layui.com/demo/table/thead.html	E:/dev/layui/layui/www.layui.com/demo/table/thead.html	(from https://www.layui.com/)
19:37:06	17007/17007	---MCZ	200	added ('OK')	text/html	etag:W/%22426f-1785621354e%22	https://www.layui.com/layuiadmin/	E:/dev/layui/layui/www.layui.com/layuiadmin/index.html	(from https://www.layui.com/about/relatedlinks.html)
19:37:06	169/169	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Mar%202021%2011:37:07%20GMT	https://www.layui.com/doc/base/demo.js	E:/dev/layui/layui/www.layui.com/doc/base/demo.52.delayed	(from https://www.layui.com/doc/)
19:37:07	8427/8427	---MCZ	200	added ('OK')	text/html	etag:W/%2220eb-17856213547%22	https://www.layui.com/layim/	E:/dev/layui/layui/www.layui.com/layim/index.html	(from https://www.layui.com/about/relatedlinks.html)
19:37:07	87/87	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:37:08%20GMT	http:../../res.layui.com/layui/dist/images/face/2.gif	E:/dev/layui/layui/res.layui.com/layui/dist/images/face/2.54.delayed	(from https://www.layui.com/doc/)
19:37:08	5648/5648	---MCZ	200	added ('OK')	text/html	etag:W/%221610-yy01vQKu8CFn2KSfmY87BrSxCTk%22	https://www.layui.com/demo/layuiAdmin.html	E:/dev/layui/layui/www.layui.com/demo/layuiAdmin.html	(from https://www.layui.com/doc/)
19:37:08	88/88	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:37:08%20GMT	http:../../res.layui.com/layui/dist/images/face/38.gif	E:/dev/layui/layui/res.layui.com/layui/dist/images/face/38.gif	(from https://www.layui.com/doc/)
19:37:08	77/77	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:37:09%20GMT	http:../../res.layui.com/images/fly/fly.jpg	E:/dev/layui/layui/res.layui.com/images/fly/fly.jpg	(from https://www.layui.com/doc/)
19:37:09	79/79	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:37:09%20GMT	http:../../res.layui.com/images/fly/layim.jpg	E:/dev/layui/layui/res.layui.com/images/fly/layim.jpg	(from https://www.layui.com/doc/)
19:37:09	83/83	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:37:09%20GMT	http:../../res.layui.com/images/sentsin/night.gif	E:/dev/layui/layui/res.layui.com/images/sentsin/night.gif	(from https://www.layui.com/doc/)
